fiscalDateEnding,reportedCurrency_cash_flow,operatingCashflow_cash_flow,paymentsForOperatingActivities_cash_flow,proceedsFromOperatingActivities_cash_flow,changeInOperatingLiabilities_cash_flow,changeInOperatingAssets_cash_flow,depreciationDepletionAndAmortization_cash_flow,capitalExpenditures_cash_flow,changeInReceivables_cash_flow,changeInInventory_cash_flow,profitLoss_cash_flow,cashflowFromInvestment_cash_flow,cashflowFromFinancing_cash_flow,proceedsFromRepaymentsOfShortTermDebt_cash_flow,paymentsForRepurchaseOfCommonStock_cash_flow,paymentsForRepurchaseOfEquity_cash_flow,paymentsForRepurchaseOfPreferredStock_cash_flow,dividendPayout_cash_flow,dividendPayoutCommonStock_cash_flow,dividendPayoutPreferredStock_cash_flow,proceedsFromIssuanceOfCommonStock_cash_flow,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet_cash_flow,proceedsFromIssuanceOfPreferredStock_cash_flow,proceedsFromRepurchaseOfEquity_cash_flow,proceedsFromSaleOfTreasuryStock_cash_flow,changeInCashAndCashEquivalents_cash_flow,changeInExchangeRate_cash_flow,netIncome_cash_flow,reportedCurrency_balance_sheet,totalAssets_balance_sheet,totalCurrentAssets_balance_sheet,cashAndCashEquivalentsAtCarryingValue_balance_sheet,cashAndShortTermInvestments_balance_sheet,inventory_balance_sheet,currentNetReceivables_balance_sheet,totalNonCurrentAssets_balance_sheet,propertyPlantEquipment_balance_sheet,accumulatedDepreciationAmortizationPPE_balance_sheet,intangibleAssets_balance_sheet,intangibleAssetsExcludingGoodwill_balance_sheet,goodwill_balance_sheet,investments_balance_sheet,longTermInvestments_balance_sheet,shortTermInvestments_balance_sheet,otherCurrentAssets_balance_sheet,otherNonCurrentAssets_balance_sheet,totalLiabilities_balance_sheet,totalCurrentLiabilities_balance_sheet,currentAccountsPayable_balance_sheet,deferredRevenue_balance_sheet,currentDebt_balance_sheet,shortTermDebt_balance_sheet,totalNonCurrentLiabilities_balance_sheet,capitalLeaseObligations_balance_sheet,longTermDebt_balance_sheet,currentLongTermDebt_balance_sheet,longTermDebtNoncurrent_balance_sheet,shortLongTermDebtTotal_balance_sheet,otherCurrentLiabilities_balance_sheet,otherNonCurrentLiabilities_balance_sheet,totalShareholderEquity_balance_sheet,treasuryStock_balance_sheet,retainedEarnings_balance_sheet,commonStock_balance_sheet,commonStockSharesOutstanding_balance_sheet,reportedCurrency_income_statement,grossProfit_income_statement,totalRevenue_income_statement,costOfRevenue_income_statement,costofGoodsAndServicesSold_income_statement,operatingIncome_income_statement,sellingGeneralAndAdministrative_income_statement,researchAndDevelopment_income_statement,operatingExpenses_income_statement,investmentIncomeNet_income_statement,netInterestIncome_income_statement,interestIncome_income_statement,interestExpense_income_statement,nonInterestIncome_income_statement,otherNonOperatingIncome_income_statement,depreciation_income_statement,depreciationAndAmortization_income_statement,incomeBeforeTax_income_statement,incomeTaxExpense_income_statement,interestAndDebtExpense_income_statement,netIncomeFromContinuingOperations_income_statement,comprehensiveIncomeNetOfTax_income_statement,ebit_income_statement,ebitda_income_statement,netIncome_income_statement,reportedDate_earnings,reportedEPS_earnings,estimatedEPS_earnings,surprise_earnings,surprisePercentage_earnings,reportTime_earnings
2024-09-30,USD,26811000000,None,None,36741000000,30133000000,2911000000,2908000000,22941000000,1087000000,14736000000,1445000000,-24948000000,13890000000,25083000000,25083000000,None,3804000000,3804000000,None,None,0,None,-25083000000,None,None,None,14736000000,USD,364980000000,152987000000,29943000000,65171000000,7286000000,66243000000,211993000000,45680000000,73448000000,None,None,None,254763000000,91479000000,35228000000,14287000000,74834000000,308030000000,176392000000,68960000000,21049000000,21023000000,9967000000,131638000000,752000000,96662000000,10912000000,85750000000,106629000000,78304000000,45888000000,56950000000,None,-19154000000,83276000000,15116786000,USD,43879000000,94930000000,57574000000,51051000000,29591000000,6523000000,7765000000,14288000000,None,None,None,None,94930000000,None,None,2911000000,29610000000,14874000000,None,14736000000,15980000000,29591000000,32502000000,14736000000,2024-10-31,1.64,1.6,0.04,2.5,post-market
2024-06-30,USD,28858000000,None,None,4978000000,3294000000,2850000000,2151000000,2094000000,12000000,21448000000,-127000000,-36017000000,1994000000,26522000000,26522000000,None,3895000000,3895000000,None,None,0,None,-26522000000,None,None,None,21448000000,USD,331612000000,125435000000,25565000000,61801000000,6165000000,43172000000,206177000000,44502000000,72627000000,None,None,None,255441000000,91240000000,36236000000,14297000000,70435000000,264904000000,131624000000,47574000000,20553000000,15108000000,2994000000,133280000000,None,98300000000,12114000000,86196000000,101294000000,60889000000,47084000000,66708000000,None,-4726000000,79850000000,15222259000,USD,39678000000,85777000000,52419000000,46099000000,25352000000,6320000000,8006000000,14326000000,None,None,None,None,85777000000,None,None,2850000000,25494000000,4046000000,None,21448000000,21992000000,25352000000,28202000000,21448000000,2024-08-01,1.4,1.35,0.05,3.7037,post-market
2024-03-31,USD,22690000000,None,None,-11740000000,-5976000000,2836000000,1996000000,-8767000000,-190000000,23636000000,-310000000,-30433000000,4000000,23205000000,23205000000,None,3710000000,3710000000,None,None,0,None,-23205000000,None,None,None,23636000000,USD,337411000000,128416000000,32695000000,67150000000,6232000000,41150000000,208995000000,43546000000,71697000000,None,None,None,261876000000,95187000000,34455000000,13884000000,70262000000,263217000000,123822000000,45753000000,20612000000,12759000000,1997000000,139395000000,None,102600000000,10762000000,91831000000,104597000000,57298000000,47564000000,74194000000,None,4339000000,78815000000,15337686000,USD,42271000000,90753000000,54950000000,48482000000,27900000000,6468000000,7903000000,14371000000,None,None,None,None,90753000000,None,None,2836000000,28058000000,4422000000,None,23636000000,24054000000,27900000000,30736000000,23636000000,2024-05-02,1.53,1.5,0.03,2,post-market
2023-12-31,USD,39895000000,None,None,-8407000000,-9530000000,2848000000,2392000000,-11124000000,137000000,33916000000,1927000000,-30585000000,-7968000000,20139000000,20139000000,None,3825000000,3825000000,None,None,0,None,-20139000000,None,None,None,33916000000,USD,353514000000,143692000000,40760000000,73100000000,6511000000,50102000000,209822000000,43666000000,72510000000,None,None,None,272376000000,99475000000,32340000000,13979000000,66681000000,279414000000,133973000000,58146000000,20764000000,12952000000,1998000000,145441000000,None,106000000000,10954000000,95088000000,107998000000,54611000000,50353000000,74100000000,None,8242000000,75236000000,15460223000,USD,54855000000,119575000000,71506000000,64720000000,40373000000,6786000000,7696000000,14482000000,None,None,None,1002000000,119575000000,None,None,2848000000,40323000000,6407000000,None,33916000000,35990000000,40373000000,43221000000,33916000000,2024-02-01,2.18,2.1,0.08,3.8095,post-market
2023-09-30,USD,21598000000,3113000000,None,14946000000,21006000000,2653000000,2163000000,21137000000,-952000000,22956000000,2394000000,-23153000000,3986000000,21003000000,21003000000,None,3758000000,3758000000,None,0,0,None,-21003000000,None,839000000,None,22956000000,USD,352583000000,143566000000,29965000000,61555000000,6331000000,60985000000,209017000000,43715000000,70884000000,None,None,None,264965000000,100544000000,31590000000,14695000000,64758000000,290437000000,145308000000,62611000000,20161000000,15972000000,5985000000,145129000000,859000000,105103000000,9822000000,95281000000,111088000000,58829000000,49848000000,62146000000,None,-214000000,73812000000,15550061000,USD,40427000000,88496000000,55222000000,49071000000,26969000000,6151000000,7307000000,13458000000,984000000,-1002000000,984000000,1002000000,89498000000,47000000,None,2653000000,26998000000,4042000000,1002000000,22956000000,23305000000,28000000000,29622000000,22956000000,2023-11-02,1.46,1.39,0.07,5.036,post-market
2023-06-30,USD,26380000000,None,None,5203000000,4454000000,3052000000,2093000000,3661000000,22000000,19881000000,437000000,-24048000000,0,17478000000,0,None,3849000000,3849000000,None,0,0,None,0,None,2769000000,None,19881000000,USD,335038000000,122659000000,28408000000,62482000000,7351000000,39186000000,212379000000,43550000000,70787000000,None,None,None,277871000000,104061000000,34074000000,13640000000,64768000000,274764000000,124963000000,46699000000,20358000000,11209000000,3993000000,149801000000,None,105300000000,7216000000,98071000000,109293000000,58897000000,51730000000,60274000000,None,1408000000,70667000000,15647868000,USD,36413000000,80799000000,51357000000,45384000000,22998000000,5973000000,7442000000,13415000000,980000000,-998000000,980000000,998000000,81797000000,-247000000,None,3052000000,22733000000,2852000000,998000000,19881000000,19826000000,23731000000,26050000000,19881000000,2023-08-03,1.26,1.19,0.07,5.8824,post-market
2023-03-31,USD,28560000000,None,None,-16821000000,-17052000000,2898000000,2916000000,-17786000000,741000000,24160000000,2319000000,-25724000000,508000000,19594000000,19594000000,None,3650000000,3650000000,None,None,None,None,-19594000000,None,5155000000,None,24160000000,USD,332160000000,112913000000,24687000000,24687000000,7482000000,None,219247000000,43398000000,69668000000,None,None,None,None,110461000000,31185000000,13660000000,65388000000,270002000000,120075000000,42945000000,None,None,12574000000,149927000000,None,107600000000,10578000000,97041000000,109615000000,56425000000,52886000000,62158000000,None,4336000000,69568000000,15723406000,USD,41976000000,94836000000,59061000000,52860000000,28318000000,6201000000,7457000000,13658000000,None,-12000000,918000000,930000000,94836000000,76000000,None,2898000000,28382000000,4222000000,None,24160000000,25326000000,29312000000,31216000000,24160000000,2023-05-04,1.52,1.43,0.09,6.2937,post-market
2023-03-31,USD,28560000000,None,None,None,None,2898000000,2916000000,17786000000,-741000000,24160000000,2319000000,-25724000000,0,None,0,None,3650000000,3650000000,None,0,0,None,0,None,5155000000,None,24160000000,USD,332160000000,112913000000,24687000000,24687000000,7482000000,None,219247000000,43398000000,69668000000,None,None,None,None,110461000000,31185000000,13660000000,65388000000,270002000000,120075000000,42945000000,None,None,12574000000,149927000000,None,107600000000,10578000000,97041000000,109615000000,56425000000,52886000000,62158000000,None,4336000000,69568000000,15723406000,USD,41976000000,94836000000,59061000000,52860000000,28318000000,6201000000,7457000000,13658000000,None,-12000000,918000000,930000000,94836000000,76000000,None,2898000000,28382000000,4222000000,None,24160000000,25326000000,29312000000,31216000000,24160000000,2023-05-04,1.52,1.43,0.09,6.2937,post-market
2022-12-31,USD,34005000000,703000000,None,-2186000000,-689000000,2916000000,3787000000,-6595000000,1807000000,29998000000,-1445000000,-35563000000,-16428000000,19475000000,19475000000,None,3768000000,3768000000,None,0,0,None,-19475000000,None,-3003000000,None,29998000000,USD,346747000000,128777000000,20535000000,51355000000,6820000000,54180000000,217970000000,42951000000,68044000000,None,None,None,291347000000,114095000000,30820000000,16422000000,60924000000,290020000000,137286000000,57918000000,20592000000,11483000000,1743000000,152734000000,None,109400000000,9740000000,99627000000,111143000000,59893000000,53107000000,56727000000,None,3240000000,66399000000,15842407000,USD,50332000000,116151000000,73429000000,66822000000,36016000000,6607000000,7709000000,14316000000,868000000,-1003000000,868000000,1003000000,117154000000,-258000000,None,2916000000,35623000000,5625000000,1003000000,29998000000,28195000000,36626000000,38932000000,29998000000,2023-02-02,1.88,1.94,-0.06,-3.0928,post-market
2022-09-30,USD,24127000000,2755000000,None,21420000000,21468000000,2865000000,3289000000,18693000000,-435000000,20721000000,-1217000000,-26794000000,-2030000000,24428000000,24428000000,None,3703000000,3703000000,None,None,5465000000,None,-24428000000,None,-3884000000,None,20721000000,USD,352755000000,135405000000,23646000000,48304000000,4946000000,60932000000,217350000000,42117000000,72340000000,None,None,None,292870000000,120805000000,24658000000,21223000000,54428000000,302083000000,153982000000,64115000000,20312000000,21239000000,9982000000,148101000000,812000000,110087000000,11128000000,98959000000,233256000000,60845000000,49142000000,50672000000,None,-3068000000,64849000000,15943425000,USD,38095000000,89319000000,58491000000,52051000000,24894000000,6440000000,6761000000,13201000000,753000000,-827000000,753000000,827000000,90146000000,-163000000,None,2865000000,24657000000,3936000000,827000000,20721000000,18909000000,25484000000,28349000000,20721000000,2022-10-27,1.29,1.27,0.02,1.5748,post-market
