fiscalDateEnding,reportedCurrency_cash_flow,operatingCashflow_cash_flow,paymentsForOperatingActivities_cash_flow,proceedsFromOperatingActivities_cash_flow,changeInOperatingLiabilities_cash_flow,changeInOperatingAssets_cash_flow,depreciationDepletionAndAmortization_cash_flow,capitalExpenditures_cash_flow,changeInReceivables_cash_flow,changeInInventory_cash_flow,profitLoss_cash_flow,cashflowFromInvestment_cash_flow,cashflowFromFinancing_cash_flow,proceedsFromRepaymentsOfShortTermDebt_cash_flow,paymentsForRepurchaseOfCommonStock_cash_flow,paymentsForRepurchaseOfEquity_cash_flow,paymentsForRepurchaseOfPreferredStock_cash_flow,dividendPayout_cash_flow,dividendPayoutCommonStock_cash_flow,dividendPayoutPreferredStock_cash_flow,proceedsFromIssuanceOfCommonStock_cash_flow,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet_cash_flow,proceedsFromIssuanceOfPreferredStock_cash_flow,proceedsFromRepurchaseOfEquity_cash_flow,proceedsFromSaleOfTreasuryStock_cash_flow,changeInCashAndCashEquivalents_cash_flow,changeInExchangeRate_cash_flow,netIncome_cash_flow,reportedCurrency_balance_sheet,totalAssets_balance_sheet,totalCurrentAssets_balance_sheet,cashAndCashEquivalentsAtCarryingValue_balance_sheet,cashAndShortTermInvestments_balance_sheet,inventory_balance_sheet,currentNetReceivables_balance_sheet,totalNonCurrentAssets_balance_sheet,propertyPlantEquipment_balance_sheet,accumulatedDepreciationAmortizationPPE_balance_sheet,intangibleAssets_balance_sheet,intangibleAssetsExcludingGoodwill_balance_sheet,goodwill_balance_sheet,investments_balance_sheet,longTermInvestments_balance_sheet,shortTermInvestments_balance_sheet,otherCurrentAssets_balance_sheet,otherNonCurrentAssets_balance_sheet,totalLiabilities_balance_sheet,totalCurrentLiabilities_balance_sheet,currentAccountsPayable_balance_sheet,deferredRevenue_balance_sheet,currentDebt_balance_sheet,shortTermDebt_balance_sheet,totalNonCurrentLiabilities_balance_sheet,capitalLeaseObligations_balance_sheet,longTermDebt_balance_sheet,currentLongTermDebt_balance_sheet,longTermDebtNoncurrent_balance_sheet,shortLongTermDebtTotal_balance_sheet,otherCurrentLiabilities_balance_sheet,otherNonCurrentLiabilities_balance_sheet,totalShareholderEquity_balance_sheet,treasuryStock_balance_sheet,retainedEarnings_balance_sheet,commonStock_balance_sheet,commonStockSharesOutstanding_balance_sheet,reportedCurrency_income_statement,grossProfit_income_statement,totalRevenue_income_statement,costOfRevenue_income_statement,costofGoodsAndServicesSold_income_statement,operatingIncome_income_statement,sellingGeneralAndAdministrative_income_statement,researchAndDevelopment_income_statement,operatingExpenses_income_statement,investmentIncomeNet_income_statement,netInterestIncome_income_statement,interestIncome_income_statement,interestExpense_income_statement,nonInterestIncome_income_statement,otherNonOperatingIncome_income_statement,depreciation_income_statement,depreciationAndAmortization_income_statement,incomeBeforeTax_income_statement,incomeTaxExpense_income_statement,interestAndDebtExpense_income_statement,netIncomeFromContinuingOperations_income_statement,comprehensiveIncomeNetOfTax_income_statement,ebit_income_statement,ebitda_income_statement,netIncome_income_statement,reportedDate_earnings,reportedEPS_earnings,estimatedEPS_earnings,surprise_earnings,surprisePercentage_earnings,reportTime_earnings
2024-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025-01-29,None,3.77,0,None,post-market
2024-09-30,USD,-745000000,None,None,None,None,1268000000,424000000,None,None,-317000000,None,-2765000000,0,None,None,None,1543000000,1543000000,None,None,0,None,-189000000,None,None,None,-330000000,USD,134339000000,30543000000,13197000000,13197000000,1367000000,6203000000,96174000000,5614000000,None,72182000000,11090000000,61092000000,None,None,505000000,1836000000,None,109809000000,28853000000,3274000000,16548000000,7189000000,3599000000,80955000000,3547000000,55308000000,3590000000,52980000000,82312000000,5934000000,11186000000,24448000000,169935000000,149789000000,61013000000,923600000,USD,8420000000,14968000000,6548000000,12000000,1364000000,4911000000,1876000000,7056000000,None,-259000000,170000000,429000000,-466000000,422000000,None,1268000000,-815000000,-485000000,None,-317000000,1570000000,-386000000,1042000000,-330000000,2024-10-23,2.3,2.23,0.07,3.139,post-market
2024-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-24,2.43,2.2,0.23,10.4545,post-market
2024-03-31,USD,4168000000,None,None,None,None,1131000000,239000000,None,None,1576000000,-4210000000,1877000000,1000000,None,None,None,1522000000,1522000000,None,None,5486000000,None,-199000000,None,None,None,1605000000,USD,137169000000,36663000000,14603000000,14603000000,1212000000,6676000000,93235000000,5594000000,None,70284000000,10750000000,59534000000,None,None,4512000000,4227000000,None,113836000000,32397000000,3588000000,17539000000,10940000000,5471000000,81439000000,3367000000,57125000000,5469000000,54033000000,86750000000,6009000000,10914000000,23261000000,169759000000,151362000000,60145000000,917200000,USD,7742000000,14462000000,6719000000,28000000,85000000,4974000000,1796000000,7657000000,None,-432000000,210000000,432000000,215000000,274000000,533000000,598000000,1103000000,-502000000,432000000,1575000000,1878000000,1535000000,2133000000,1605000000,2024-04-24,1.68,1.6,0.08,5,post-market
2023-12-31,USD,4463000000,None,None,None,None,1152000000,300000000,None,390000000,3294000000,2836000000,-1615000000,-13000000,None,None,None,1518000000,1518000000,None,None,0,None,-64000000,None,None,None,3288000000,USD,135241000000,32908000000,13068000000,13068000000,1161000000,7725000000,101302000000,-472000000,None,71214000000,11036000000,60178000000,125000000,125000000,373000000,12860000000,None,112628000000,34122000000,4132000000,16984000000,12851000000,6426000000,87072000000,379000000,54588000000,6304000000,50121000000,120630000000,6203000000,11475000000,22533000000,169624000000,151276000000,59643000000,915013646,USD,10267000000,17381000000,7114000000,112000000,3876000000,4791000000,1748000000,6391000000,None,-405000000,143000000,405000000,-412000000,108000000,541000000,611000000,3762000000,474000000,405000000,3285000000,624000000,4167000000,4778000000,3288000000,2024-01-24,3.87,3.78,0.09,2.381,post-market
2023-09-30,USD,3056000000,None,None,None,None,1093000000,281000000,None,None,1714000000,-1953000000,-3132000000,9000000,0,0,None,1515000000,1515000000,None,None,154000000,None,0,None,None,None,1704000000,USD,129321000000,27705000000,7257000000,7257000000,1399000000,6039000000,100035000000,5369000000,12848000000,70874000000,11278000000,59596000000,None,None,3721000000,2581000000,None,106165000000,30606000000,3342000000,15002000000,12814000000,6414000000,75560000000,3283000000,50664000000,6400000000,48828000000,84575000000,8126000000,12081000000,23081000000,169640000000,149506000000,59313000000,912800000,USD,8023000000,14752000000,6729000000,42000000,1994000000,4458000000,1685000000,6029000000,None,-412000000,156000000,412000000,265000000,97000000,521000000,572000000,1863000000,159000000,412000000,1714000000,2105000000,2275000000,2847000000,1704000000,2023-10-25,2.2,2.13,0.07,3.2864,post-market
2023-06-30,USD,2638000000,None,None,None,None,1077000000,364000000,None,None,1581000000,7000000,-2730000000,0,0,0,None,1510000000,1510000000,None,None,0,None,0,None,-85000000,None,1583000000,USD,132213000000,34458000000,9394000000,9394000000,1501000000,6368000000,96170000000,5443000000,13145000000,66881000000,10496000000,56385000000,None,1585000000,6904000000,2731000000,None,109942000000,32513000000,3732000000,15976000000,13565000000,6785000000,77429000000,2828000000,54030000000,6780000000,50691000000,87088000000,8442000000,12103000000,22201000000,169581000000,149318000000,58963000000,909855943,USD,8501000000,15475000000,6974000000,61000000,1984000000,4900000000,1687000000,6517000000,None,-423000000,201000000,423000000,163000000,39000000,520000000,557000000,2002000000,419000000,423000000,1581000000,1863000000,2425000000,2982000000,1583000000,2023-07-19,2.18,2.01,0.17,8.4577,post-market
2023-03-31,USD,3774000000,None,None,None,None,1074000000,300000000,None,None,927000000,-7960000000,5708000000,-3000000,0,0,None,1497000000,1497000000,None,None,9432000000,None,0,None,1522000000,None,927000000,USD,133637000000,35982000000,9337000000,9337000000,1603000000,12626000000,96048000000,5344000000,13417000000,67098000000,10905000000,56193000000,None,1607000000,8057000000,2501000000,None,111964000000,30993000000,3728000000,16663000000,9768000000,4887000000,80971000000,2963000000,55692000000,4881000000,53826000000,86257000000,8289000000,12099000000,21604000000,169544000000,149253000000,58675000000,907500000,USD,7509000000,14252000000,6743000000,30000000,256000000,4853000000,1655000000,7253000000,None,-367000000,170000000,367000000,-93000000,22000000,527000000,547000000,1051000000,124000000,367000000,934000000,888000000,1418000000,1965000000,927000000,2023-04-19,1.36,1.26,0.1,7.9365,post-market
2022-12-31,USD,3965000000,None,None,None,None,1137000000,409000000,None,71000000,2710000000,-1319000000,-2852000000,-4000000,0,0,None,1494000000,1494000000,None,None,7000000,None,0,None,None,None,2710000000,USD,127243000000,29118000000,7886000000,7886000000,1552000000,14209000000,96874000000,5334000000,13361000000,67133000000,11184000000,55949000000,142000000,142000000,852000000,2610000000,None,105222000000,31505000000,4051000000,15531000000,9511000000,4760000000,83414000000,164000000,47190000000,4676000000,46189000000,107759000000,9788000000,12243000000,21944000000,169484000000,149825000000,58343000000,906091977,USD,9632000000,16690000000,7058000000,190000000,3294000000,4766000000,1604000000,6338000000,None,-313000000,64000000,313000000,-394000000,36000000,570000000,567000000,3154000000,444000000,313000000,2870000000,3109000000,3467000000,4034000000,2710000000,2023-01-25,3.6,3.6,0,0,post-market
2022-09-30,USD,1901000000,None,None,None,None,1163000000,317000000,None,71000000,-3196000000,-1697000000,713000000,230000000,0,0,None,1491000000,1491000000,None,None,3395000000,None,0,None,917000000,None,-3196000000,USD,125850000000,28999000000,7816000000,7816000000,1794000000,6289000000,95237000000,5150000000,13525000000,65185000000,10967000000,54218000000,None,1614000000,1753000000,1000000,None,105703000000,30466000000,3806000000,14157000000,11678000000,5937000000,75236000000,2947000000,46685000000,5741000000,44942000000,76684000000,8740000000,13413000000,20076000000,169514000000,148611000000,58117000000,904076831,USD,7430000000,14107000000,6677000000,57000000,1471000000,4391000000,1611000000,5959000000,None,-295000000,53000000,295000000,363000000,80000000,586000000,577000000,-4483000000,-1287000000,295000000,-3214000000,1834000000,-4188000000,-3611000000,-3196000000,2022-10-19,1.81,1.77,0.04,2.2599,post-market
