fiscalDateEnding,reportedCurrency_cash_flow,operatingCashflow_cash_flow,paymentsForOperatingActivities_cash_flow,proceedsFromOperatingActivities_cash_flow,changeInOperatingLiabilities_cash_flow,changeInOperatingAssets_cash_flow,depreciationDepletionAndAmortization_cash_flow,capitalExpenditures_cash_flow,changeInReceivables_cash_flow,changeInInventory_cash_flow,profitLoss_cash_flow,cashflowFromInvestment_cash_flow,cashflowFromFinancing_cash_flow,proceedsFromRepaymentsOfShortTermDebt_cash_flow,paymentsForRepurchaseOfCommonStock_cash_flow,paymentsForRepurchaseOfEquity_cash_flow,paymentsForRepurchaseOfPreferredStock_cash_flow,dividendPayout_cash_flow,dividendPayoutCommonStock_cash_flow,dividendPayoutPreferredStock_cash_flow,proceedsFromIssuanceOfCommonStock_cash_flow,proceedsFromIssuanceOfLongTermDebtAndCapitalSecuritiesNet_cash_flow,proceedsFromIssuanceOfPreferredStock_cash_flow,proceedsFromRepurchaseOfEquity_cash_flow,proceedsFromSaleOfTreasuryStock_cash_flow,changeInCashAndCashEquivalents_cash_flow,changeInExchangeRate_cash_flow,netIncome_cash_flow,reportedCurrency_balance_sheet,totalAssets_balance_sheet,totalCurrentAssets_balance_sheet,cashAndCashEquivalentsAtCarryingValue_balance_sheet,cashAndShortTermInvestments_balance_sheet,inventory_balance_sheet,currentNetReceivables_balance_sheet,totalNonCurrentAssets_balance_sheet,propertyPlantEquipment_balance_sheet,accumulatedDepreciationAmortizationPPE_balance_sheet,intangibleAssets_balance_sheet,intangibleAssetsExcludingGoodwill_balance_sheet,goodwill_balance_sheet,investments_balance_sheet,longTermInvestments_balance_sheet,shortTermInvestments_balance_sheet,otherCurrentAssets_balance_sheet,otherNonCurrentAssets_balance_sheet,totalLiabilities_balance_sheet,totalCurrentLiabilities_balance_sheet,currentAccountsPayable_balance_sheet,deferredRevenue_balance_sheet,currentDebt_balance_sheet,shortTermDebt_balance_sheet,totalNonCurrentLiabilities_balance_sheet,capitalLeaseObligations_balance_sheet,longTermDebt_balance_sheet,currentLongTermDebt_balance_sheet,longTermDebtNoncurrent_balance_sheet,shortLongTermDebtTotal_balance_sheet,otherCurrentLiabilities_balance_sheet,otherNonCurrentLiabilities_balance_sheet,totalShareholderEquity_balance_sheet,treasuryStock_balance_sheet,retainedEarnings_balance_sheet,commonStock_balance_sheet,commonStockSharesOutstanding_balance_sheet,reportedCurrency_income_statement,grossProfit_income_statement,totalRevenue_income_statement,costOfRevenue_income_statement,costofGoodsAndServicesSold_income_statement,operatingIncome_income_statement,sellingGeneralAndAdministrative_income_statement,researchAndDevelopment_income_statement,operatingExpenses_income_statement,investmentIncomeNet_income_statement,netInterestIncome_income_statement,interestIncome_income_statement,interestExpense_income_statement,nonInterestIncome_income_statement,otherNonOperatingIncome_income_statement,depreciation_income_statement,depreciationAndAmortization_income_statement,incomeBeforeTax_income_statement,incomeTaxExpense_income_statement,interestAndDebtExpense_income_statement,netIncomeFromContinuingOperations_income_statement,comprehensiveIncomeNetOfTax_income_statement,ebit_income_statement,ebitda_income_statement,netIncome_income_statement,reportedDate_earnings,reportedEPS_earnings,estimatedEPS_earnings,surprise_earnings,surprisePercentage_earnings,reportTime_earnings
2024-09-30,USD,15108004,None,None,-3977,-202520,6250,None,-108370,None,2833972,None,-14048496,-13300000,None,None,None,748496,748496,None,None,None,None,None,None,None,None,2636516,USD,79798119,3352734,3352734,3352734,None,None,367765,None,None,None,None,None,None,75035567,None,None,None,9351483,1105483,None,513619,None,None,8652262,None,3900000,None,None,3900000,301881,None,70446636,1566605,15947179,264892,2581021,USD,10142375,10332947,190572,57869,8808445,124022,None,1333930,113,1945595,2190601,245006,57125,None,None,6250,2634005,-2511,245006,2833972,2833972,2879011,-153912,2636516,2024-11-06,1.0215,None,0,None,pre-market
2024-06-30,USD,4282539,None,None,-163728,501066,6250,None,168862,None,6540313,None,-2748496,-2000000,None,None,None,748496,748496,None,None,None,None,None,None,None,None,7737773,USD,90789069,2293226,2293226,2293226,1,None,174053,None,None,None,None,None,None,87070967,None,228342,None,22230453,4464030,None,566423,None,-566423,17766423,None,17200000,None,None,17200000,3639386,None,68558616,1566605,14059159,264892,2581021,USD,1874209,2047480,173271,2009922,-778573,106721,None,2652782,144,1995227,2388399,393172,73175,None,None,6250,7738335,562,393172,6540313,6540313,8131507,-140952,7737773,2024-08-06,2.998,None,0,None,pre-market
2024-03-31,USD,-4840883,None,None,126570,200487,6250,None,103155,None,1471128,None,2304745,2950000,None,None,None,645255,645255,None,None,None,None,None,None,None,None,1399381,USD,84355130,759183,759183,759183,1,None,65815,None,None,None,None,None,None,82774125,None,450693,None,22785791,773629,None,619225,None,-272086,22012162,None,19200000,None,None,19200000,-426490,None,61569339,1566605,7069882,264892,2581021,USD,5650994,5965740,314746,459312,4424138,250896,None,1226856,1914,1423628,1813648,390020,151835,None,None,6250,1400159,778,390020,1471128,1471128,1790179,1796429,1399381,2024-05-13,0.5422,None,0,None,pre-market
2023-12-31,USD,-1058408,None,None,-54056,-173518,6250,None,7407,-29577,2938778,None,873957,2500000,None,None,None,1626043,1626043,None,None,None,None,None,None,None,None,1088979,USD,81021982,3295321,3295321,3295321,None,None,39179,None,None,None,None,None,None,77125712,None,144580,None,20206769,145516,None,552256,None,None,20206769,None,16250000,None,None,16250000,-145516,None,60815213,1566605,6315756,264892,2581021,USD,6965884,7198979,233095,394797,5952087,167386,None,1013797,241,5642358,5979355,336997,4470666,None,None,6250,1043697,-45282,-3174484,2938778,2938778,1380694,1579473,1088979,2024-03-05,0.4219,None,0,None,post-market
2023-09-30,USD,-7331374,None,None,-134281,15921,6250,None,37606,None,-718241,None,2454745,3100000,None,None,None,645255,645255,None,None,None,None,None,None,None,None,595504,USD,79039682,3479772,3479772,3479772,1,None,134087,None,None,None,None,None,None,74684285,None,-4079094,None,17687405,591101,None,561524,None,169995,17096304,None,13750000,None,None,13750000,29577,None,61352277,1566605,11189723,264892,2581021,USD,-2309268,978904,197758,57097,-3119204,131208,None,809936,456,-290522,1536133,290522,0,None,None,6250,728099,132595,290522,-718241,-718241,1018621,-60759,595504,2023-11-06,0.29,None,0,None,post-market
2023-06-30,USD,4460494,None,None,236193,197971,6250,None,-9905,253870,1198476,None,2054745,2700000,None,None,None,645255,645255,None,None,None,None,None,None,None,None,2671890,USD,76054837,8356401,8356401,8356401,1,None,174826,None,None,None,None,None,None,66791743,66791743,-8910147,None,14652809,79983,None,464089,None,384106,10650000,None,10650000,None,None,10650000,-79983,3204867,61402028,1566605,11239474,264892,2581021,USD,3889394,4068026,178632,85080,2582653,111241,None,1306741,104,-258912,1473644,258912,-732045,-1300829,None,6250,2687951,16061,258912,1198476,1198476,2946863,3032359,2671890,2023-08-04,0.38,None,0,None,pre-market
2023-03-31,USD,-4411630,None,None,30980,-28440,6250,None,1154,1154,407145,None,4883796,5400000,None,None,None,516204,516204,None,None,None,None,None,None,None,None,2170277,USD,70605273,1841162,1841162,1841162,None,None,33695,None,None,None,None,None,None,68190270,None,-2160669,None,11229880,522391,None,478452,None,None,10707489,None,7950000,None,None,7950000,-53721,None,59375393,1566605,9212839,264892,2581021,USD,205472,456970,251498,64304,-842373,187648,None,1047845,132,-158400,1297035,158400,-241671,None,None,6250,2259014,88737,458400,407145,407145,2417414,202214,2170277,2023-05-09,0.39,None,0,None,pre-market
2022-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD,557149,656665,99516,99516,11705416,96718,None,371090,None,1091990,1135908,43918,None,None,None,6250,451967,131792,None,320175,None,11705416,11711666,320175,2023-03-10,0.41,None,0,None,pre-market
2022-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD,1355456,1397229,41773,41773,1176084,247187,None,498959,None,1074011,1100053,26042,None,None,None,6250,1150042,45140,None,1104902,None,1176084,1182334,1104902,2022-11-07,0.4281,None,0,None,pre-market
2022-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD,251585,316520,64935,64935,-1865146,326965,None,96198,None,1004833,1004833,None,None,None,None,-1449380,-1865146,31243,None,-1896389,None,-415766,-1865146,-1896389,2022-08-08,-0.73,None,0,None,pre-market
2022-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD,116247,172990,56743,56743,-403170,105103,None,345378,None,912139,912139,None,None,None,None,-779370,-403170,7367,None,-410537,None,376200,-403170,-410537,2022-05-09,-0.16,None,0,None,pre-market
